Proximity,Seed,Sample_Size,Train_Error,Test_Error,RF_OOB,RF_Test
Original,234,2000,0.105,0.0433333333333333,0.185714285714286,0.166666666666667
RF-GAP,2024,2000,0,0,0.191428571428571,0.188333333333333
OOB,2024,2000,0.0507142857142857,0.0383333333333333,0.191428571428571,0.188333333333333
Original,2024,2000,0.113571428571429,0.0216666666666666,0.191428571428571,0.188333333333333
RF-GAP,1260,2000,0.00285714285714289,0,0.185,0.18
OOB,1260,2000,0.0435714285714286,0.0383333333333333,0.185,0.18
Original,1260,2000,0.106428571428571,0.03,0.185,0.18
RF-GAP,981,2000,0.00214285714285711,0,0.226428571428571,0.183333333333333
OOB,981,2000,0.0492857142857143,0.03,0.226428571428571,0.183333333333333
Original,981,2000,0.143571428571429,0.0266666666666666,0.226428571428571,0.183333333333333
RF-GAP,909,2000,0.00142857142857145,0,0.189285714285714,0.213333333333333
OOB,909,2000,0.0421428571428572,0.045,0.189285714285714,0.213333333333333
Original,909,2000,0.112857142857143,0.0283333333333333,0.189285714285714,0.213333333333333
RF-GAP,351,2000,0,0,0.183571428571429,0.191666666666667
OOB,351,2000,0.0464285714285714,0.0466666666666666,0.183571428571429,0.191666666666667
Original,351,2000,0.112857142857143,0.04,0.183571428571429,0.191666666666667
RF-GAP,3036,2000,0.00214285714285711,0,0.193571428571429,0.165
OOB,3036,2000,0.0550000000000001,0.0366666666666666,0.193571428571429,0.165
Original,3036,2000,0.124285714285714,0.0216666666666666,0.193571428571429,0.165
RF-GAP,1680,2000,0.00142857142857145,0,0.186428571428571,0.185
OOB,1680,2000,0.0428571428571428,0.035,0.186428571428571,0.185
Original,1680,2000,0.107857142857143,0.0333333333333333,0.186428571428571,0.185
RF-GAP,1308,2000,0.00214285714285711,0,0.198571428571429,0.178333333333333
OOB,1308,2000,0.0478571428571428,0.0433333333333333,0.198571428571429,0.178333333333333
Original,1308,2000,0.116428571428571,0.0383333333333333,0.198571428571429,0.178333333333333
RF-GAP,1212,2000,0.00285714285714289,0,0.197857142857143,0.22
OOB,1212,2000,0.0478571428571428,0.0366666666666666,0.197857142857143,0.22
Original,1212,2000,0.112142857142857,0.0316666666666666,0.197857142857143,0.22
RF-GAP,468,2000,0.00214285714285711,0,0.206428571428571,0.193333333333333
OOB,468,2000,0.0342857142857143,0.0366666666666666,0.206428571428571,0.193333333333333
Original,468,2000,0.131428571428571,0.0316666666666666,0.206428571428571,0.193333333333333
RF-GAP,4048,2000,0.00285714285714289,0,0.177857142857143,0.195
OOB,4048,2000,0.0535714285714286,0.0283333333333333,0.177857142857143,0.195
Original,4048,2000,0.103571428571429,0.025,0.177857142857143,0.195
